VideoDuration,VideoDatePublished,VideoID,VideoImage,VideoTitle,VideoUrl,VideoViews,Like,Unlike,Khan Style%,Animation%  ,Talking Head%                 ,Whiteboard%
PT3M52S,8/2/2020,tFwNp3qIgMg,https://i.ytimg.com/vi/tFwNp3qIgMg/hqdefault.jpg,Abacus tutorial for beginners - Math and Addition- How to start with Abacus easy way |2.5 yr Toddler,https://www.youtube.com/embed/tFwNp3qIgMg,112889,214,58,0,51,84,1
PT8M52S,2/17/2019,dkHlxm1AfqY,https://i.ytimg.com/vi/dkHlxm1AfqY/maxresdefault.jpg,Operations on Decimal Numbers | Class 1 to 5 Mat,https://www.youtube.com/embed/dkHlxm1AfqY,18294,685,96,0,20,85,10
PT7M5S,3/22/2019,SX2NE0haQls,https://i.ytimg.com/vi/SX2NE0haQls/maxresdefault.jpg,Why Do We Fart? - The Dr. Binocs Show | Best Learning Videos For Kids | Peekaboo Kidz,https://www.youtube.com/embed/SX2NE0haQls,4947096,965,63,0,1,86,10
PT7M34S,7/20/2020,u8BEB_1GYoY,https://i.ytimg.com/vi/u8BEB_1GYoY/maxresdefault.jpg ,"Abacus Class 1||easy learning Abacus||learning Abacus in tamil||Free abacus class""",https://www.youtube.com/embed/u8BEB_1GYoY,14889,223,25,0,2,82,10
PT7M43S,1/13/2018,XqF0Z7n1KEM,https://i.ytimg.com/vi/XqF0Z7n1KEM/maxresdefault.jp,Unitary Method | Mathematics Grade 4 | Periwinkle,https://www.youtube.com/embed/XqF0Z7n1KEM,209169,666,85,0,3,84,10
PT5M9S,1/18/2017,qRA3L2glUxk,https://i.ytimg.com/vi/qRA3L2glUxk/maxresdefault.jp,Number Counting | Counting in Tens and Ones | Maths For Class 2 | Maths Basics For CBSE Children,https://www.youtube.com/embed/qRA3L2glUxk,869257,445,56,0,1,85,10
PT6M51S,5/2/2020,0IZyGB1qQmM,https://i.ytimg.com/vi/0IZyGB1qQmM/maxresdefault.jpg,Factors and Multiples | Mathematics Grade 5 | Periwinkle,https://www.youtube.com/embed/0IZyGB1qQmM,478612,215,3,0,1,86,10
PT6M44S,5/2/2020,L8bY9O0-j_4,https://i.ytimg.com/vi/L8bY9O0-j_4/maxresdefault.jpg,Addition of Fractions | Mathematics Grade 5 | Periwinkle,https://www.youtube.com/embed/L8bY9O0-j_4,120289,66,2,0,14,87,10
PT3M44S,1/22/2017,2fopxAVMCI4,https://i.ytimg.com/vi/2fopxAVMCI4/maxresdefault.jpg,"Word Problems Addition and Subtraction of Capacities, Litres, Millilitres | Maths For Class 2",https://www.youtube.com/embed/2fopxAVMCI4,279021,452,45,0,15,89,10
PT13M21S,7/11/2019,qM7B2nwpV1M,https://i.ytimg.com/vi/qM7B2nwpV1M/maxresdefault.jpg,Subtraction for kids - Learn how to subtract - Mathematics for kids ,https://www.youtube.com/embed/qM7B2nwpV1M,1314485,235,22,0,12,85,10
PT6M20S,2/13/2017,DJrHRdZ9WgU,https://i.ytimg.com/vi/DJrHRdZ9WgU/maxresdefault.jpg,Addition Word Problems | Word Problems on Addition | Maths For Class 2 | Maths Basics CBSE Children,https://www.youtube.com/embed/DJrHRdZ9WgU,318394,124,8,0,13,85,10
PT6M18S,11/27/2017,CqrYYiffPr0,https://i.ytimg.com/vi/CqrYYiffPr0/maxresdefault.jpg,Rules Of Divisibility | Mathematics Grade 4 | Periwinkle,https://www.youtube.com/embed/CqrYYiffPr0,612098,153,5,0,32,87,5
PT80M19S,8/7/2020,PT80M19S,https://i.ytimg.com/vi/CdTUq5TTDEo/maxresdefault.jpg,Lesson 3. Operations on whole numbers | Maths Session for Grade 07,https://www.youtube.com/embed/CdTUq5TTDEo,16829,120,6,0,12,85,10
PT9M40S,4/16/2012,dAgfnK528RA,https://i.ytimg.com/vi/dAgfnK528RA/maxresdefault.jpg,Math Antics - Order Of Operations,https://www.youtube.com/embed/dAgfnK528RA,5420719,965,3,0,1,84,10
PT12M33S,2/2/2016,Z757THlXLA8,https://i.ytimg.com/vi/Z757THlXLA8/maxresdefault.jpg,Lesson 1 - Multiply Whole Numbers By Fractions (5th Grade Math,https://www.youtube.com/embed/Z757THlXLA8,269497,254,5,0,1,86,15
PT182M17S,8/17/2020,oY4EgyY12-s,https://i.ytimg.com/vi/oY4EgyY12-s/maxresdefault.jpg,Lesson 3. Mathematical Operations on Whole Numbers | Maths Session for Grade 06,https://www.youtube.com/embed/oY4EgyY12-s,19997,52,4,0,75,85,15
PT8M14S,11/10/2017,LERb-94P8po,https://i.ytimg.com/vi/LERb-94P8po/maxresdefault.jpg,Simple Math Tricks You Weren\u2019t Taught at Schoo,https://www.youtube.com/embed/LERb-94P8po,6239255,3245,88,0,10,85,15
PT5M33S,3/30/2018,WBwPhWAP394,https://i.ytimg.com/vi/WBwPhWAP394/maxresdefault.jpg,Heart Dissection GCSE A Level Biology NEET Practical Skills,https://www.youtube.com/embed/WBwPhWAP394,10963899,6620,102,0,12,85,15
PT44M56S,11/20/2017,GUCcsMmZVec,https://i.ytimg.com/vi/GUCcsMmZVec/maxresdefault.jpg,Science for kids | Brilliant Brains | The Nervous System | Experiments for kids | Operation Ouch,https://www.youtube.com/embed/GUCcsMmZVec,2219080,250,12,0,1,85,15
PT33M12S,10/31/2020,SaZaOm3Umkc,https://i.ytimg.com/vi/SaZaOm3Umkc/maxresdefault.jpg,Lesson 29. Likelihood of an Event Occurring | Maths Session for Grade 07,https://www.youtube.com/embed/SaZaOm3Umkc,3222,142,52,0,41,85,15
PT6M54S,5/9/2013,zr4onA2k_LY,https://i.ytimg.com/vi/zr4onA2k_LY/maxresdefault.,Digestion in Human Beings 3D CBSE Class 7 Science (www.iDaaLearning.com,https://www.youtube.com/embed/zr4onA2k_LY,14312807,875,23,0,20,11,15
PT5M13S,4/16/2012,4lkq3DgvmJo,https://i.ytimg.com/vi/4lkq3DgvmJo/maxresdefault.jpg,Math Antics - Dividing Fractions,https://www.youtube.com/embed/4lkq3DgvmJo,3748319,956,14,0,12,12,1
PT16M49S,1/14/2020,aEYovzjp9_o,https://i.ytimg.com/vi/aEYovzjp9_o/maxresdefault.jpg,Nutrition in Plants | Class 7 Science Sprint | Chapter 1 @Vedantu Young Wonder,https://www.youtube.com/embed/aEYovzjp9_o,676859,254,52,0,2,13,51
