VideoDuration,VideoPublished Date,VideoID,VideoImageURL,VideoTitle,VideoURL,VideoViews,Like,Unlike,Khan Style%,Animation%  ,Talking Head%                 ,Whiteboard%
PT6M47S,6/28/2019,L3g9B5Hzzo4,https://i.ytimg.com/vi/L3g9B5Hzzo4/maxresdefault.jpg,"Symmetrical And Asymmetrical Shapes | Math | Grade-3,4 | Tutway |",https://www.youtube.com/embed/L3g9B5Hzzo4,331820,652,120,0,14,15,5
PT6M32S,12/5/2019,LbieQZ4vBus,https://i.ytimg.com/vi/LbieQZ4vBus/maxresdefault.jpg,Symmetry | Class 7 | Maths| CBSE | ICSE | FREE Tutorial,https://www.youtube.com/embed/LbieQZ4vBus,16784,12,1,0,15,24,5
PT2M41S,5/27/2019,_Xs56r9o3Tw,https://i.ytimg.com/vi/_Xs56r9o3Tw/maxresdefault.jpg,Line Of Symmetry | Mathematics Grade 4 | Periwinkle,https://i.ytimg.com/vi/_Xs56r9o3Tw/maxresdefault.jpg,265553,854,10,0,10,56,5
PT64M1S,7/29/2020,lePNxW0vB_Q,https://i.ytimg.com/vi/lePNxW0vB_Q/maxresdefault.jpg,Lesson 11. Symmetry | Maths Session for Grade 08,https://www.youtube.com/embed/lePNxW0vB_Q,7593,1020,12,0,0,23,0
PT19M8S,7/18/2019,Yq_l-T9jivE,https://i.ytimg.com/vi/Yq_l-T9jivE/maxresdefault.jpg,Symmetry | Class 6 Maths | Introduction to Symmetry | iWiz Kapil Gargi,https://www.youtube.com/embed/Yq_l-T9jivE,2892,125,54,0,1,55,1
PT29M41S,1/6/2021,eiwiTQW81Jg,https://i.ytimg.com/vi/eiwiTQW81Jg/maxresdefault.jpg,NCERT Exercise 13.2 : Question 1 - Symmetry | Class 6 Maths,https://www.youtube.com/embed/eiwiTQW81Jg,7202,145,2,0,1,14,5
PT6M1S,1/4/2017,6XNBZmh3F28,https://i.ytimg.com/vi/6XNBZmh3F28/maxresdefault.jpg,"""Maths Symmetry part 4 (Line Symmetry) CBSE Class 6 Mathematics VI",https://www.youtube.com/embed/6XNBZmh3F28,7655,845,36,0,2,52,5
PT7M32S,10/10/2019,a-xVJkEFF5Y,https://i.ytimg.com/vi/a-xVJkEFF5Y/maxresdefault.jpg,Q 3 - Ex 13.2 - Symmetry - NCERT Maths Class 6th - Chapter 11,https://www.youtube.com/embed/a-xVJkEFF5Y,30877,8475,75,0,5,54,0
PT36M22S,8/22/2020,PALoFQLQrW4,https://i.ytimg.com/vi/PALoFQLQrW4/maxresdefault.jpg,Symmetry full chapter | Mathematics | Class 6 | CBSE Syllabus,https://www.youtube.com/embed/PALoFQLQrW4,852,12,1,0,4,22,5
PT29M18S,1/5/2021,mgj-KtKpXJ4,https://i.ytimg.com/vi/mgj-KtKpXJ4/maxresdefault.jpg,Symmetry - Introduction | Class 6 Maths,https://www.youtube.com/embed/mgj-KtKpXJ4,13591,13,2,0,6,42,5
PT6M11S,2/12/2018,gyX5vftn-jE,https://i.ytimg.com/vi/gyX5vftn-jE/maxresdefault.jpg,Introduction - Rotational Symmetry - NCERT Class 7th Maths Solutions,https://www.youtube.com/embed/gyX5vftn-jE,246841,1452,41,0,2,15,5
PT72M30S,8/7/2020,wNd4yTg-b6I,https://i.ytimg.com/vi/wNd4yTg-b6I/maxresdefault.jpg,Lesson 1. Bilateral Symmetry | Maths Session for Grade 07,https://www.youtube.com/embed/wNd4yTg-b6I,36957,21,2,0,3,42,5
PT6M32S,12/5/2019,LbieQZ4vBus,https://i.ytimg.com/vi/LbieQZ4vBus/maxresdefault.jpg,Symmetry | Class 7 | Maths| CBSE | ICSE | FREE Tutoria,https://www.youtube.com/embed/LbieQZ4vBus,17107,950,62,0,1,12,51
PT4M45S,3/29/2019,0wDI6xM3zw,https://i.ytimg.com/vi/-0wDI6xM3zw/maxresdefault.jpg,Reflection And Rotational Symmetry In Familiar 2D Shapes | Mathematics Grade 5 | Periwinkl,https://www.youtube.com/embed/-0wDI6xM3zw,37453,789,42,0,45,75,10
PT2M41S,5/27/2019,Xs56r9o3Tw,https://i.ytimg.com/vi/_Xs56r9o3Tw/maxresdefault.jpg,Line Of Symmetry | Mathematics Grade 4 | Periwinkle,https://www.youtube.com/embed/_Xs56r9o3Tw,268205,620,1,0,21,78,10
PT11M13S,2/16/2019,9haMsTNhWQo,https://i.ytimg.com/vi/9haMsTNhWQo/maxresdefault.jpg,What is Reflectional Symmetry | Class 7th Maths ,https://www.youtube.com/embed/9haMsTNhWQo,2111,950,25,0,1,77,10
PT2M36S,3/27/2015,YFzktJNmnPU,"https://i.ytimg.com/vi/YFzktJNmnPU/maxresdefault.jpg""",Intro to Symmetry: All About Symmetry for Kids - FreeSchool,https://www.youtube.com/embed/YFzktJNmnPU,1164474,1025,23,0,52,77,10
PT6M47S,6/28/2019,L3g9B5Hzzo4,https://i.ytimg.com/vi/L3g9B5Hzzo4/maxresdefault.jpg,"Symmetrical And Asymmetrical Shapes | Math | Grade-3,4 | Tutway ",https://www.youtube.com/embed/L3g9B5Hzzo4,335634,956,21,0,65,78,10
PT3M38S,7/14/2020,dAqDwuHOi4g,https://i.ytimg.com/vi/dAqDwuHOi4g/maxresdefault.jpg,Intro to Symmetry (Part 1) | What is Symmetry? | Lines of Symmetry,https://www.youtube.com/embed/dAqDwuHOi4g,69861,456,12,0,23,79,10
PT12M53S,12/27/2018,75hJPEnvevE,https://i.ytimg.com/vi/75hJPEnvevE/maxresdefault.jpg,Measurement and Conversion of Capacity | Class 1 to 5 ,https://www.youtube.com/embed/75hJPEnvevE,39325,20,1,0,42,75,1
PT195M13S,8/7/2020,HL2v6rF4zhU,https://i.ytimg.com/vi/HL2v6rF4zhU/maxresdefault.jpg,Lesson 4. Factors and Multiples (Part I) | Maths Session for Grade 07,https://www.youtube.com/embed/HL2v6rF4zhU,26212,965,21,0,51,84,1
PT4M17S,1/27/2016,RKFo2IkP9yo,https://i.ytimg.com/vi/RKFo2IkP9yo/maxresdefault.jpg,Symmetry - (CBSE Grade: 06 Maths,https://www.youtube.com/embed/RKFo2IkP9yo,18554,30,1,0,20,85,10
PT5M15S,1/18/2021,FJkhnulP72A,https://i.ytimg.com/vi/FJkhnulP72A/hqdefault.jpg,"Quiz on Symmetry | part 1|"", ",https://www.youtube.com/embed/FJkhnulP72A,542,45,25,0,1,86,10
PT5M30S,4/5/2020,FYjIW_bJWcQ,https://i.ytimg.com/vi/FYjIW_bJWcQ/maxresdefault.jpg,Symmetry Lesson,https://www.youtube.com/embed/FYjIW_bJWcQ,27523,652,23,0,2,82,10
PT5M45S,1/1/2021,OE9ny9pUXtI,https://i.ytimg.com/vi/OE9ny9pUXtI/maxresdefault.jpg,Reflection and Symmetry | Part 1/3 | English | Class 6,https://www.youtube.com/embed/OE9ny9pUXtI,2480,754,42,0,3,84,10
PT6M1S,3/30/2017,s4tS-ZmpJfw,https://i.ytimg.com/vi/s4tS-ZmpJfw/maxresdefault.jpg,Reflectional Symmetry and Rotational Symmetry | Don't Memorise,https://www.youtube.com/embed/s4tS-ZmpJfw,663259,1025,42,0,1,85,10
PT8M4S,5/23/2019,J-kLTQPNnPc,https://i.ytimg.com/vi/J-kLTQPNnPc/maxresdefault.jpg,Basic Figures Of Geometry | Maths For Kids | Periwinkle,https://www.youtube.com/embed/J-kLTQPNnPc,252154,2010,32,0,1,86,10
PT22M20S,5/27/2020,J4FR0JzkFKU,https://i.ytimg.com/vi/J4FR0JzkFKU/maxresdefault.jpg,Grade 6 - Mathematics - Symmetry: Reflective / WorksheetCloud Video Lesson,https://www.youtube.com/embed/J4FR0JzkFKU,442,1542,12,0,14,87,10
PT19M51S,1/2/2021,J4kePdNNixU,https://i.ytimg.com/vi/J4kePdNNixU/maxresdefault.jpg,NCERT Grade 7 || CBSE Class 7 - Symmetry Introduction in Tamil,https://www.youtube.com/embed/J4kePdNNixU,703,852,52,0,15,89,10
PT3M15S,4/25/2019,SJlhywRfvh8,https://i.ytimg.com/vi/SJlhywRfvh8/maxresdefault.jpg,Symmetry Song for Kids | A Day at Symmetry Land | Lines of Symmetry,,887751,956,23,0,12,85,10
PT4M30S,11/2/2016,1L54JQgUUdM,https://i.ytimg.com/vi/1L54JQgUUdM/maxresdefault.jpg,Maths Symmetry part 11 (What is Rotational Symmetry) CBSE Class 7  Mathematics VI,https://www.youtube.com/embed/1L54JQgUUdM,6083,885,42,0,13,85,10
PT5M12S,2020-05-0,NwO363dyeOg,https://i.ytimg.com/vi/NwO363dyeOg/maxresdefault.jpg,Perimeter | Maths for Kids | Grade 4 | Periwinkle,https://www.youtube.com/embed/NwO363dyeOg,288953,320,12,0,32,87,5
PT6M22S,2/23/2018,rFtzqNhStj4,https://i.ytimg.com/vi/rFtzqNhStj4/maxresdefault.jpg,Symmetric Geometry in Tamil,https://www.youtube.com/embed/rFtzqNhStj4,20995,652,25,0,12,85,10
PT5M45S,11/20/2016,lIkJy8WzuZ0,https://i.ytimg.com/vi/lIkJy8WzuZ0/maxresdefault.jpg,Maths Symmetry part 3 (Symmetry in Nature) CBSE Class 7  Mathematics VII,https://www.youtube.com/embed/lIkJy8WzuZ0,8540,965,65,0,1,84,10
PT95M35S,8/26/2020,7w7pEoGUxd0,https://i.ytimg.com/vi/7w7pEoGUxd0/maxresdefault.jpg,Lesson 7. Parallel Straight Lines | Maths Session for Grade 07,https://www.youtube.com/embed/7w7pEoGUxd0,12560,942,3,0,1,86,15
PT6M32S,12/5/2019,LbieQZ4vBus,https://i.ytimg.com/vi/LbieQZ4vBus/maxresdefault.jpg,Symmetry | Class 7 | Maths| CBSE | ICSE | FREE Tutorial,https://www.youtube.com/embed/LbieQZ4vBus,17111,452,241,0,75,85,15
PT15M29S,5/16/2019,0xaHxE6lZOY,https://i.ytimg.com/vi/0xaHxE6lZOY/maxresdefault.jpg,Symmetry Part- 1 || 5th std Maths Syllabus || Exercises and Activities || Easy to Learn Math,https://www.youtube.com/embed/0xaHxE6lZOY,26809,123,2,0,10,85,15
PT9M46S,10/26/2020,dSJEEOFaDz0,https://i.ytimg.com/vi/dSJEEOFaDz0/maxresdefault.jpg,Abacus Class - Introduction | Learn basics Abacus | Beginners Abacus Lesson 1,https://www.youtube.com/embed/dSJEEOFaDz0,61682,210,32,0,12,85,15
PT89M17S,7/25/2016,5IZn9zqV0Ro,https://i.ytimg.com/vi/5IZn9zqV0Ro/maxresdefault.jpg,English Grammar for Reading and Speaking Part 02 | Learn English Grammar For Kids | English Grammar,https://www.youtube.com/embed/5IZn9zqV0Ro,147291,30,12,0,1,85,15
PT16M31S,4/29/2016,tQe3G44jx2E,https://i.ytimg.com/vi/tQe3G44jx2E/hqdefault.jpg,Phonics Chapter 1 : Sounds of Alphabets | Learn Phonics  | Phonics Classroom Teaching,https://www.youtube.com/embed/tQe3G44jx2E,3826258,12,2,0,41,85,15
PT80M39S,9/5/2020,hmMBxeltPkg,https://i.ytimg.com/vi/hmMBxeltPkg/maxresdefault.jpg,Symmetry full chapter | Mathematics | Class 7 | CBSE Syllabus,https://www.youtube.com/embed/hmMBxeltPkg,468,44,5,0,20,11,15
PT50M6S,8/25/2016,kCHeKc2R96o,https://i.ytimg.com/vi/kCHeKc2R96o/maxresdefault.jpg,"Pre School Learning For Kids | Animals, Birds, Animal Sounds, Fruits, Flowers, Vegetables",https://www.youtube.com/embed/kCHeKc2R96o,15834063,965,65,0,12,12,1
